"Codigo","Nombre","Modelo","Descripcion","Pcosto","Pventa","PMayor","Pordes","Porpro","Grupo","Familia","Marca","Feuling","Feulve","Observaciones","Status","Exiact","Id","Propietario","Minimo","Idereg","Costor","Invini","Proveedor","Ultmov","Bodega","Nombod","Ventas","Compras","Apos","Aneg"
ALP123,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY S-1,"1.60*1.15",TOMATE CON RAYAS RECTAS,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,287,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2011-10-19 00:00:00.000,2,INNOVARTE,1.0,0.0,0.0,0.0
ALP124,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY 143,"1.60*1.15",TOMATE PURA,125.0,280.0,0.0,2.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,289,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O ANGEL EDUARDO,2012-06-12 00:00:00.000,2,INNOVARTE,4.0,2.0,0.0,0.0
ALP125,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY S/ CODIGO,"1.60*1.15",BLANCA CONNEGRO Y CAFE,125.0,280.0,0.0,2.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,291,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-06-30 00:00:00.000,2,INNOVARTE,2.0,1.0,0.0,0.0
ALP126,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY R-2,"1.60*1.15",CAFE CON RAYAS DORADAS,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,293,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O ANGEL EDUARDO,2015-02-27 00:00:00.000,2,INNOVARTE,2.0,1.0,0.0,0.0
ALP127,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY 144,"1.60*1.15",VERDE CLARA PURA,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,295,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-03-03 00:00:00.000,2,INNOVARTE,2.0,1.0,0.0,0.0
ALP128,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY 142,"1.60*1.15",CAFE PURA,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,297,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-06-12 00:00:00.000,2,INNOVARTE,1.0,0.0,0.0,0.0
ALP129,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY SPD-005,"1.60*1.15","CHOCOLATE,BLANCO,CAFE CLARO Y VERDE",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,299,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2011-09-03 00:00:00.000,2,INNOVARTE,1.0,0.0,0.0,0.0
ALP130,ALFOMBRA ANTIALERGICA VISCOSE  SHAGGY SPD-001,"1.60*1.15", CAFE,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,301,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2013-07-31 00:00:00.000,2,INNOVARTE,1.0,0.0,0.0,0.0
ALP131,ALFOMBRA ANTIALERGICA VISCOSE  SHAGGY SPD-002,"1.60*1.15","CAFE,VERDE Y BEIGE",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,303,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-01-20 00:00:00.000,2,INNOVARTE,1.0,0.0,0.0,0.0
ALP132,ALFOMBRA ANTIALERGICA  LUXURYNEGRO GRIS Y ROJO 1388,"1.60*1.15","",125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1206,ANGELA LARREA,0.0,1,125.0,0.0,CABRERA PATI�O,2012-11-17 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALP133,ALFOMBRA ANTIALERGICA  LUXURY 6417-050,"1.60*1.15","",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1208,ANGELA LARREA,0.0,1,125.0,0.0,CABRERA PATI�O,2012-01-20 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALP134,ALFOMBRA ANTIALERGICA  LUXURY 6432-37,"1.60*1.15","CHOCOLATE , TOMATE , BEIGE Y CAFE",125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1210,ANGELA LARREA,0.0,1,125.0,0.0,CABRERA PATI�O ANGEL EDUARDO,2013-07-12 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALP135,ALFOMBRA ANTIALERGICA  LUXURY 6441-563 ,"1.60*1.15"," VERDE , ABANA Y CHOCOLATE",125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1212,ANGELA LARREA,0.0,1,125.0,0.0,CABRERA PATI�O ANGEL EDUARDO,2012-07-21 00:00:00.000,1,D ROSIE,2.0,2.0,0.0,0.0
ALP136,ALFOMBRA ANTIALERGICA  LUXURY A1,"1.60*1.15","",82.0,280.0,0.0,2.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1214,ANGELA LARREA,0.0,1,82.0,1.0,CABRERA PATI�O ANGEL EDUARDO,2018-01-29 00:00:00.000,2,INNOVARTE,14.0,13.0,0.0,0.0
ALP137,ALFOMBRA ANTIALERGICA  LUXURY 169,"1.60*1.15",ABANA PURA,83.33,280.0,0.0,2.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1216,ANGELA LARREA,0.0,1,125.0,0.0,CABRERA PATI�O ANGEL EDUARDO,2014-06-18 00:00:00.000,2,INNOVARTE,2.0,2.0,0.0,0.0
ALP138,ALFOMBRA ANTIALERGICA  LUXURY 165,"1.60*1.15",CAFE,62.5,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1218,ANGELA LARREA,0.0,1,125.0,0.0,CABRERA PATI�O ANGEL EDUARDO,2016-08-25 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALP139,ALFOMBRA ANTIALERGICA  LUXURY A2,"1.60*1.15",CHOCOLATE CON BEIGE,114.58,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1220,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O ANGEL EDUARDO,2014-01-17 00:00:00.000,1,D ROSIE,4.0,2.0,0.0,0.0
