"Codigo","Nombre","Modelo","Descripcion","Pcosto","Pventa","PMayor","Pordes","Porpro","Grupo","Familia","Marca","Feuling","Feulve","Observaciones","Status","Exiact","Id","Propietario","Minimo","Idereg","Costor","Invini","Proveedor","Ultmov","Bodega","Nombod","Ventas","Compras","Apos","Aneg"
DMP342,C-1330Q-ORO2 FLORERO NARANJA DE VIDRIO 021204,"","",45.0,70.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,2012-11-14 00:00:00.000,,"",A,1.0,2509,ANGELA LARREA,0.0,1,45.0,0.0,ALMACEN PROMOCIONES,2012-11-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP343,"062-543142 CANDELABRO DE VIDRIO TRANSPARENTE 031203","","",12.4,25.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,2012-11-14 00:00:00.000,,"",A,1.0,2511,ANGELA LARREA,0.0,1,12.4,0.0,ALMACEN PROMOCIONES,2012-11-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP344,"062-543143 CANDELABRO DE VIDRIO TRANSPARENTE 031203","","",13.8,30.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,2012-11-14 00:00:00.000,,"",A,1.0,2513,ANGELA LARREA,0.0,1,13.8,0.0,ALMACEN PROMOCIONES,2012-11-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP345,"062-543144 CANDELABRO DE VIDRIO TRANSPARENTE 031203","","",17.9,40.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,2012-11-14 00:00:00.000,,"",A,1.0,2515,ANGELA LARREA,0.0,1,17.9,0.0,ALMACEN PROMOCIONES,2012-11-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP346,"456-49724 ESPIGA FLOR AMARILLA 110 CM 011217-14","","",6.5,10.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,2012-11-14 00:00:00.000,,"",A,6.0,2517,ANGELA LARREA,0.0,1,6.5,0.0,ALMACEN PROMOCIONES,2012-11-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP347,"2777-239650MA BOLA25 CM VERDE-FUCSIA-TURQUESA","","",14.9,25.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,2012-11-14 00:00:00.000,,"",A,6.0,2519,ANGELA LARREA,0.0,1,14.9,0.0,ALMACEN PROMOCIONES,2012-11-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP348,NB-825F001 ROLLO DE PAPEL DECORATIVO 031033,"","",0.0,0.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,,,"",A,0.0,2521,ANGELA LARREA,0.0,1,,0.0,ALMACEN PROMOCIONES,,1,D ROSIE,0.0,0.0,0.0,0.0
DMP349,NB-1229-195 LUCES BRILLANTES DE LED 2 FORMAS,"","",10.5,20.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,2012-11-14 00:00:00.000,,"",A,6.0,2523,ANGELA LARREA,0.0,1,10.5,0.0,ALMACEN PROMOCIONES,2012-11-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP350,"12554 DOS CABALLOS 26*29 CM","","",32.98,70.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,FEDERAL,2012-12-14 00:00:00.000,,"",A,1.0,2615,ANGELA LARREA,0.0,1,32.98,0.0,IMPORTADORA FEDERAL S.A.,2012-12-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP351,"12594 FLORERO RINA 28 CM","","",14.42,28.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,FEDERAL,2012-12-14 00:00:00.000,,"",A,5.0,2617,ANGELA LARREA,0.0,1,14.42,0.0,IMPORTADORA FEDERAL S.A.,2012-12-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
