"Fechfa","Costo","Venta","Total","mes","aaaa","Descu","Contro","Codart","Nommarca"
2010-01-06 00:00:00.000,16.48,28.04,15.421999999999999,1,2010,12.618,HY-,HY-232,
2010-01-06 00:00:00.000,17.44,28.04,15.421999999999999,1,2010,12.618,HY-,HY-231,
2010-01-06 00:00:00.000,93.64,159.2,87.55999999999999,1,2010,71.64,KI-,KI-056,
2010-01-06 00:00:00.000,43.8,86.0,47.3,1,2010,38.7,JHI,JHI-014,
2010-01-06 00:00:00.000,47.300000000000004,87.5,54.25,1,2010,33.25,BAI,BAI-001,
2010-01-06 00:00:00.000,7.1,11.66,6.413,1,2010,5.247,HY-,HY-183,
2010-01-06 00:00:00.000,9.6,17.28,11.5776,1,2010,5.702400000000001,PFI,PFI-072,
2010-01-06 00:00:00.000,50.0,89.9,60.233000000000004,1,2010,29.667,PFI,PFI-017,
2010-01-06 00:00:00.000,14.52,23.64,13.002,1,2010,10.638,HY-,HY-098,
2010-01-06 00:00:00.000,36.24,61.67999999999999,33.92399999999999,1,2010,27.755999999999997,HY-,HY-195,
2010-01-06 00:00:00.000,109.5,215.0,118.25,1,2010,96.75,JHI,JHI-021,
2010-01-06 00:00:00.000,38.36,86.0,47.3,1,2010,38.7,JHI,JHI-137-1,
2010-01-06 00:00:00.000,49.2,89.9,60.233000000000004,1,2010,29.667,PFI,PFI-063,
2010-01-06 00:00:00.000,121.0,197.0,108.35,1,2010,88.65,HY-,HY-098,
2010-01-06 00:00:00.000,13.2,22.2,12.209999999999999,1,2010,9.99,KI-,KI-045,
2010-01-06 00:00:00.000,115.5,215.0,118.25,1,2010,96.75,JHI,JHI-003,
2010-01-07 00:00:00.000,49.650000000000006,99.0,61.38,1,2010,37.62,APE,APE-001,
2010-01-07 00:00:00.000,25.46,67.6,41.91199999999999,1,2010,25.688,APE,APE-024,
2010-01-07 00:00:00.000,16.56,33.0,20.46,1,2010,12.540000000000001,APE,APE-003,
2010-01-07 00:00:00.000,39.25,70.6,43.77199999999999,1,2010,26.828,SKT,SKT-031,
2010-01-07 00:00:00.000,71.32,148.8,92.256,1,2010,56.544000000000004,APE,APE-028,
2010-01-07 00:00:00.000,36.4,76.4,47.368,1,2010,29.032000000000004,APE,APE-029,
2010-01-07 00:00:00.000,49.67999999999999,99.0,61.38,1,2010,37.62,APE,APE-004,
2010-01-07 00:00:00.000,75.0,133.76,82.93119999999999,1,2010,50.828799999999994,CR-,CR-008,
2010-01-07 00:00:00.000,49.89,99.0,61.38,1,2010,37.62,APE,APE-002,
2010-01-07 00:00:00.000,31.36,67.6,41.91199999999999,1,2010,25.688,APE,APE-023,
2010-01-07 00:00:00.000,40.05,105.0,70.35,1,2010,34.65,FTU,FTU-046,
2010-01-07 00:00:00.000,25.46,67.6,41.91199999999999,1,2010,25.688,APE,APE-024,
2010-01-07 00:00:00.000,49.67999999999999,99.0,61.38,1,2010,37.62,APE,APE-003,
2010-01-07 00:00:00.000,31.2,56.16,37.6272,1,2010,18.532799999999998,SKT,SKT-227,
2010-01-07 00:00:00.000,188.9,389.90000000000003,241.73800000000003,1,2010,148.162,APE,APE-027,
2010-01-07 00:00:00.000,106.97999999999999,223.20000000000002,138.38400000000001,1,2010,84.816,APE,APE-028,
2010-01-07 00:00:00.000,182.0,382.0,236.84,1,2010,145.16,APE,APE-030,
